thread_name,process_name,upid,utid,cpu,ts,dur,end_state
bigo_worker_thr,bigo_worker_thread,756,766,2,261340441708085,388794,D
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,2,261340442096879,71329,R
drm-event-liste,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,315,866,2,261340442168208,178711,S
binder:479_5,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,315,4,1,261340442330765,267050,S
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,2,261340442346919,78492,S
Codec2.0 Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1053,0,261340442413610,116822,R+
swapper,,0,0,2,261340442425411,92936,R
decon0_kthread,decon0_kthread,191,6,2,261340442518347,382853,D
DisplayInfo,/vendor/bin/hw/android.hardware.sensors-service.multihal,464,1034,0,261340442530432,244385,S
swapper,,0,0,1,261340442597815,239908,R
Codec2.0 Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1053,0,261340442774817,273396,S
VrrCtrl_Primary,/vendor/bin/hw/android.hardware.composer.hwc3-service.pixel,315,8,1,261340442837723,44027,S
swapper,,0,0,1,261340442881750,31128,R
swapper,,0,0,2,261340442901200,137858,R
GC2PerfHintThre,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1052,1,261340442912878,125244,S
surfaceflinger,/system/bin/surfaceflinger,313,10,3,261340443010494,643920,S
Output Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1054,1,261340443038122,324544,R+
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,2,261340443039058,343669,S
swapper,,0,0,0,261340443048213,257243,R
binder:23019_2,com.google.android.youtube,701,5077,0,261340443305456,672770,S
android.hardwar,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,355,12,1,261340443362666,355957,S
swapper,,0,0,2,261340443382727,203125,R
BckgrndExec HP,/system/bin/surfaceflinger,313,1,2,261340443585852,294596,S
logd.writer,/system/bin/logd,295,3,3,261340443654414,99406,S
Output Looper,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1054,1,261340443718623,130697,S
swapper,,0,0,3,261340443753820,88339,R
binder:23019_8,com.google.android.youtube,701,5165,3,261340443842159,352132,S
swapper,,0,0,1,261340443849320,241537,R
swapper,,0,0,2,261340443880448,53263,R
CodecLooper,com.google.android.youtube,701,5239,2,261340443933711,1144694,S
swapper,,0,0,0,261340443978226,199178,R
binder:23019_4,com.google.android.youtube,701,5138,1,261340444090857,112874,S
android.youtube,com.google.android.youtube,701,712,0,261340444177404,830160,S
swapper,,0,0,3,261340444194291,1751546,R
swapper,,0,0,1,261340444203731,505981,R
ExoPlayer:Playb,com.google.android.youtube,701,5124,1,261340444709712,229899,S
swapper,,0,0,1,261340444939611,161825,R
CodecLooper,com.google.android.youtube,701,5225,0,261340445007564,107422,S
swapper,,0,0,2,261340445078405,1147787,R
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,1,261340445101436,133545,S
MediaCodec_loop,com.google.android.youtube,701,5238,0,261340445114986,1203898,S
binder:23019_8,com.google.android.youtube,701,5165,1,261340445234981,217041,R+
DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,1056,1,261340445452022,329468,S
traced_perf,/system/bin/traced_perf,765,775,1,261340445781490,926595,S
binder:477_4,/system/bin/surfaceflinger,313,831,3,261340445945837,318604,S
ExoPlayer:Playb,com.google.android.youtube,701,5124,2,261340446226192,300537,S
swapper,,0,0,3,261340446264441,160603,R
swapper,,0,0,0,261340446318884,83903,R
MediaCodec_loop,com.google.android.youtube,701,5238,0,261340446402787,40690,S
mali-mem-purge,/system/bin/surfaceflinger,313,818,3,261340446425044,119263,S
swapper,,0,0,0,261340446443477,72632,R
MediaCodec_loop,com.google.android.youtube,701,5238,0,261340446516109,119791,S
swapper,,0,0,2,261340446526729,88704,R
swapper,,0,0,3,261340446544307,3181966,R
ExoPlayer:Playb,com.google.android.youtube,701,5124,2,261340446615433,172893,S
swapper,,0,0,0,261340446635900,149740,R
binder:23019_8,com.google.android.youtube,701,5165,1,261340446708085,92895,S
MediaCodec_loop,com.google.android.youtube,701,5238,0,261340446785640,70353,S
swapper,,0,0,2,261340446788326,62418,R
swapper,,0,0,1,261340446800980,2733480,R
ExoPlayer:Playb,com.google.android.youtube,701,5124,2,261340446850744,149455,S
swapper,,0,0,0,261340446855993,141602,R
MediaCodec_loop,com.google.android.youtube,701,5238,0,261340446997595,246582,R+
swapper,,0,0,2,261340447000199,994751,R
stack-unwinding,/system/bin/traced_perf,765,6596,5,261340447016068,137573,S
swapper,,0,0,5,261340447153641,62887045,R
binder:843_2,/vendor/bin/hw/google.hardware.media.c2@2.0-service,468,481,0,261340447244177,412964,S
MediaCodec_loop,com.google.android.youtube,701,5238,0,261340447657141,364583,S
ExoPlayer:Playb,com.google.android.youtube,701,5124,2,261340447994950,96680,S
swapper,,0,0,0,261340448021724,77596,R
swapper,,0,0,2,261340448091630,71248,R
MediaCodec_loop,com.google.android.youtube,701,5238,0,261340448099320,69417,S
ExoPlayer:Playb,com.google.android.youtube,701,5124,2,261340448162878,121541,S
swapper,,0,0,0,261340448168737,7007203,R
swapper,,0,0,2,261340448284419,3283732,R
