utid,thread_name,process_name,ts,dur,state,blocked_function
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261341924915605,63599,R,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261341924979204,401041,Running,
766,bigo_worker_thr,bigo_worker_thread,261341924986813,27381266,D,
1,BckgrndExec HP,/system/bin/surfaceflinger,261341924991248,49601,R,
1,BckgrndExec HP,/system/bin/surfaceflinger,261341925040849,228150,Running,
12,android.hardwar,/vendor/bin/hw/android.hardware.power-service.pixel-libperfmgr,261341925049638,15704997,S,
10,surfaceflinger,/system/bin/surfaceflinger,261341925100948,12124268,S,
3,logd.writer,/system/bin/logd,261341925100948,94646,Running,
14,binder:23019_7,com.google.android.youtube,261341925173336,49764,R,
3,logd.writer,/system/bin/logd,261341925195594,15023478,S,
14,binder:23019_7,com.google.android.youtube,261341925223100,427409,Running,
1,BckgrndExec HP,/system/bin/surfaceflinger,261341925268999,12813435,S,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261341925380245,313477,S,
5138,binder:23019_4,com.google.android.youtube,261341925454464,53182,R,
5138,binder:23019_4,com.google.android.youtube,261341925507646,155680,Running,
5225,CodecLooper,com.google.android.youtube,261341925617672,39429,R,
14,binder:23019_7,com.google.android.youtube,261341925650509,189738,S,
5225,CodecLooper,com.google.android.youtube,261341925657101,105875,Running,
5138,binder:23019_4,com.google.android.youtube,261341925663326,15827718,S,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261341925693722,69254,R,
5225,CodecLooper,com.google.android.youtube,261341925762976,15888876,S,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261341925762976,114177,Running,
14,binder:23019_7,com.google.android.youtube,261341925840247,36906,R,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261341925877153,194417,S,
14,binder:23019_7,com.google.android.youtube,261341925877153,223795,Running,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261341926071570,29378,R,
14,binder:23019_7,com.google.android.youtube,261341926100948,189128,R+,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261341926100948,189128,Running,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261341926290076,10751343,S,
14,binder:23019_7,com.google.android.youtube,261341926290076,72144,Running,
14,binder:23019_7,com.google.android.youtube,261341926362220,14869018,S,
542,com.google.usf.,com.google.usf.non_wake_up,261341928503251,64861,R,
542,com.google.usf.,com.google.usf.non_wake_up,261341928568112,177368,Running,
1029,UsfTransport,/vendor/bin/hw/android.hardware.sensors-service.multihal,261341928668697,51270,R,
1029,UsfTransport,/vendor/bin/hw/android.hardware.sensors-service.multihal,261341928719967,330119,Running,
542,com.google.usf.,com.google.usf.non_wake_up,261341928745480,-1,S,
1027,android.hardwar,/vendor/bin/hw/android.hardware.sensors-service.multihal,261341928934241,53630,R,
1027,android.hardwar,/vendor/bin/hw/android.hardware.sensors-service.multihal,261341928987871,416137,Running,
1026,UsfHalWorker,/vendor/bin/hw/android.hardware.sensors-service.multihal,261341928990231,43131,R,
1026,UsfHalWorker,/vendor/bin/hw/android.hardware.sensors-service.multihal,261341929033362,73080,Running,
1029,UsfTransport,/vendor/bin/hw/android.hardware.sensors-service.multihal,261341929050086,-1,S,
1026,UsfHalWorker,/vendor/bin/hw/android.hardware.sensors-service.multihal,261341929106442,-1,S,
1360,SensorService,system_server,261341929202796,61889,R,
1360,SensorService,system_server,261341929264685,618734,Running,
1027,android.hardwar,/vendor/bin/hw/android.hardware.sensors-service.multihal,261341929404008,-1,S,
113,perf_mon_update,perf_mon_update_client_task,261341929559282,57861,R,
113,perf_mon_update,perf_mon_update_client_task,261341929617143,60588,Running,
113,perf_mon_update,perf_mon_update_client_task,261341929677731,11885213,S,
712,android.youtube,com.google.android.youtube,261341929692013,43904,R,
712,android.youtube,com.google.android.youtube,261341929735917,327800,Running,
545,system_server,system_server,261341929782711,72917,R,
545,system_server,system_server,261341929855628,315714,Running,
1360,SensorService,system_server,261341929883419,-1,S,
712,android.youtube,com.google.android.youtube,261341930063717,3862956,S,
545,system_server,system_server,261341930171342,-1,S,
5124,ExoPlayer:Playb,com.google.android.youtube,261341930318356,64087,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261341930382443,196207,Running,
5238,MediaCodec_loop,com.google.android.youtube,261341930529293,43742,R,
5238,MediaCodec_loop,com.google.android.youtube,261341930573035,1156453,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261341930578650,1055664,S,
831,binder:477_4,/system/bin/surfaceflinger,261341931406572,62785,R,
831,binder:477_4,/system/bin/surfaceflinger,261341931469357,239217,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261341931634314,54728,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261341931689042,111898,Running,
831,binder:477_4,/system/bin/surfaceflinger,261341931708574,11306193,S,
5238,MediaCodec_loop,com.google.android.youtube,261341931729488,70516,S,
5238,MediaCodec_loop,com.google.android.youtube,261341931800004,106039,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261341931800940,60873,S,
5124,ExoPlayer:Playb,com.google.android.youtube,261341931861813,37760,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261341931899573,140503,Running,
5238,MediaCodec_loop,com.google.android.youtube,261341931906043,93831,S,
5238,MediaCodec_loop,com.google.android.youtube,261341931999874,38290,R,
5238,MediaCodec_loop,com.google.android.youtube,261341932038164,60424,Running,
5124,ExoPlayer:Playb,com.google.android.youtube,261341932040076,17741,S,
5124,ExoPlayer:Playb,com.google.android.youtube,261341932057817,40202,R,
5124,ExoPlayer:Playb,com.google.android.youtube,261341932098019,99731,Running,
5238,MediaCodec_loop,com.google.android.youtube,261341932098588,9428793,S,
5124,ExoPlayer:Playb,com.google.android.youtube,261341932197750,8038900,S,
5082,Scheduler Threa,com.google.android.youtube,261341932754554,71044,R,
5082,Scheduler Threa,com.google.android.youtube,261341932825598,594849,Running,
5126,Lite Thread #1,com.google.android.youtube,261341933252194,49519,R,
5126,Lite Thread #1,com.google.android.youtube,261341933301713,496216,Running,
5082,Scheduler Threa,com.google.android.youtube,261341933420447,723592,S,
5144,Lite Thread #5,com.google.android.youtube,261341933624671,51880,R,
5144,Lite Thread #5,com.google.android.youtube,261341933676551,558675,Running,
5126,Lite Thread #1,com.google.android.youtube,261341933797929,-1,S,
712,android.youtube,com.google.android.youtube,261341933926673,153320,R,
6,decon0_kthread,decon0_kthread,261341933931840,60954,R,
6,decon0_kthread,decon0_kthread,261341933992794,87199,Running,
6,decon0_kthread,decon0_kthread,261341934079993,2928060,D,
712,android.youtube,com.google.android.youtube,261341934079993,3851359,Running,
5082,Scheduler Threa,com.google.android.youtube,261341934144039,41830,R,
5082,Scheduler Threa,com.google.android.youtube,261341934185869,43416,Running,
5082,Scheduler Threa,com.google.android.youtube,261341934229285,-1,S,
5144,Lite Thread #5,com.google.android.youtube,261341934235226,12695068,S,
9,kworker/u17:0,kworker/u17:0,261341934563229,3368123,R,
6,decon0_kthread,decon0_kthread,261341937008053,63639,R,
1056,DecodeLoop,/vendor/bin/hw/google.hardware.media.c2@2.0-service,261341937041419,14911906,R,
6,decon0_kthread,decon0_kthread,261341937071692,144165,Running,
821,TimerDispatch,/system/bin/surfaceflinger,261341937122596,33650,R,
821,TimerDispatch,/system/bin/surfaceflinger,261341937156246,132609,Running,
6,decon0_kthread,decon0_kthread,261341937215857,2687582,S,
10,surfaceflinger,/system/bin/surfaceflinger,261341937225216,38452,R,
10,surfaceflinger,/system/bin/surfaceflinger,261341937263668,1405762,Running,
821,TimerDispatch,/system/bin/surfaceflinger,261341937288855,16491577,S,
712,android.youtube,com.google.android.youtube,261341937931352,137695,R,
9,kworker/u17:0,kworker/u17:0,261341937931352,137695,Running,
11,cw-deep-buffer-,/vendor/bin/hw/android.hardware.audio.service-aidl.aoc,261341938000444,57454,R,
11,cw-deep-buffer-,/vendor/bin/hw/android.hardware.audio.service-aidl.aoc,261341938057898,375285,Running,
9,kworker/u17:0,kworker/u17:0,261341938069047,20952718,I,
